Priority,Message,"Occurred On"
error,"Error processing element: /Products/Electronics/Mobiles/Brand 1, SKU10001, Mobile 1, High-performance mobiles daily work, Mobile XYZ-200, Hochleistungs-Mobiles für Gaming und Arbeit, Ordinmar XYZ-200, Ordinateur portable haute performance pour le jeu et le travail, AU, /Brands/Microsoft, /Manufacturers/Manufacturer A, /Categories/Electronics, /Categories/Electronics/Mobile, 9030, Red, /PRODUCTS/Mobiles/Brand 1/Model 1/images/master.jpg, /PRODUCTS/Mobiles/Brand 1/Model 1/images/1.webp,/PRODUCTS/Mobiles/Brand 1/Model 1/images/2.jpg, /PRODUCTS/Mobiles/Brand 1/Model 1/video/1.mp4, /PRODUCTS/Mobiles/Brand 1/Model 1/video/poster.png,Video Title,Video Description, 150, 150000, 1, 4.5, 1200, 1300, 30, 70, 10, 1170, 14x10x1, 15.6, 4.5, XYZ-200, 2022, Mobile XYZ-200, HDMI, USB, AC Adapter, 1, 120, 130, AU, 1, 1, /Motherboards/ProGamer Extreme, /Operating Systems/Windows 10 Home, /Processors/Qualcomm Snapdragon 8cx Gen 3, /Storages/Kingston DDR4, /Storages/Samsung EVO 970, /Storages/Intel Optane 905P, 3G,4G,5GPimcore\Model\DataObject\Data\Video::setData(): Argument #1 ($data) must be of type Pimcore\Model\Asset|string|int, null given, called in /var/www/skel/src/EventSubscriber/DataImportSubscriber.php on line 51","2023-12-04 15:22:29"
error,"Error processing element: /Products/Electronics/Laptop/Brand 1, SKU10002, Laptop X, High-performance laptop for gaming and work, Laptop XYZ-200, Hochleistungs-Laptop für Gaming und Arbeit, Ordinateur XYZ-200, Téléviseur intelligent avec applications de streaming intégrées, US, /Brands/Samsung, /Manufacturers/Manufacturer B, /Categories/Electronics, /Categories/Electronics/Laptop, 930, Blue, /PRODUCTS/Mobiles/Brand 1/Model 1/images/master.jpg, /PRODUCTS/Mobiles/Brand 1/Model 1/images/1.webp,/PRODUCTS/Mobiles/Brand 1/Model 1/images/2.jpg, 	
/PRODUCTS/Mobiles/Brand 1/Model 1/video/1.mp4, /PRODUCTS/Mobiles/Brand 1/Model 1/video/poster.png,Video Title,Video Description, 85, 40000, 1, 4.7, 500, 550, 20, 30, 5, 522, 55x30x5, 55, 18, LED-1000, 2022,  Laptop-1000, HDMI, USB, AC Power Supply, 1, 220, 130, AS, 0, 0, /Motherboards/BudgetMaster B450, /Operating Systems/Windows 10 Home, /Processors/Qualcomm Snapdragon 8cx Gen 3, /Storages/Kingston DDR4, /Storages/Samsung EVO 90, /Storages/Intel Optane 905P, 3G,4G,5GPimcore\Model\DataObject\Data\Video::setData(): Argument #1 ($data) must be of type Pimcore\Model\Asset|string|int, null given, called in /var/www/skel/src/EventSubscriber/DataImportSubscriber.php on line 51","2023-12-04 15:22:29"
error,"Error processing element: /Products/Electronics/Tvs/Brand 1, SKU10003, TV X, 4K Ultra HD Smart TV with built-in streaming apps, TV Pro-500, 4K Ultra HD Smart TV mit integrierten Streaming-Apps, Smart TV LED-1000, Appareil photo reflex avec des capacités de prise de vue avancées, AU, /Brands/Nvidia, /Manufacturers/Manufacturer A, /Categories/Electronics, /Categories/Electronics/TV, 93939, Green, /PRODUCTS/Mobiles/Brand 1/Model 1/images/master.jpg, /PRODUCTS/Mobiles/Brand 1/Model 1/images/1.webp,/PRODUCTS/Mobiles/Brand 1/Model 1/images/2.jpg, 	
/PRODUCTS/Mobiles/Brand 1/Model 1/video/1.mp4, /PRODUCTS/Mobiles/Brand 1/Model 1/video/poster.png,Video Title,Video Description, 95, 100000, 0, 4.8, 1200, 1400, 40, 60, 7, 1302, 5x4x3, 7.5, 2, Pro-500, 2022, TV-500, USB, SD, Battery, 1, 110, 15, US, 0, 0, /Motherboards/PowerSpeed Z200, /Operating Systems/FreeBSD 13.0, /Processors/AMD Ryzen 5 5600G, /Storages/Corsair Vengeance LPX, /Storages/Samsung EVO 970, /Storages/Intel Optane 905P, 3G,4G,5GPimcore\Model\DataObject\Data\Video::setData(): Argument #1 ($data) must be of type Pimcore\Model\Asset|string|int, null given, called in /var/www/skel/src/EventSubscriber/DataImportSubscriber.php on line 51","2023-12-04 15:22:29"
error,"Error processing element: /Products/Electronics/Mobiles/Brand 1/Mobile 1, SKU10004, Mobile 1 Variants, 4K Ultra HD Smart TV with built-in streaming apps, TV Pro-500, 4K Ultra HD Smart TV mit integrierten Streaming-Apps, Smart TV LED-1000, Appareil photo reflex avec des capacités de prise de vue avancées, , , , , , , Blue, , , , 89, , 0, 4.8, 1200, 1400, 40, 60, 7, 1302, 5x4x3, 7.5, 2, Pro-500, 2022, TV-500, USB, SD, Battery, 1, 110, 15, US, 0, 0, /Motherboards/PowerSpeed Z200, /Operating Systems/FreeBSD 13.0, /Processors/AMD Ryzen 5 5600G, /Storages/Corsair Vengeance LPX, /Storages/Samsung EVO 970, /Storages/Intel Optane 905P, 3G,4G,5G,2GPimcore\Model\DataObject\Data\Video::setData(): Argument #1 ($data) must be of type Pimcore\Model\Asset|string|int, null given, called in /var/www/skel/src/EventSubscriber/DataImportSubscriber.php on line 51","2023-12-04 15:22:29"
error,"Error processing element: /Products/Electronics/Mobiles/Brand 1, SKU10001, Mobile 1, High-performance mobiles daily work, Mobile XYZ-200, Hochleistungs-Mobiles für Gaming und Arbeit, Ordinmar XYZ-200, Ordinateur portable haute performance pour le jeu et le travail, AU, /Brands/Microsoft, /Manufacturers/Manufacturer A, /Categories/Electronics, /Categories/Electronics/Mobile, 9030, Red, /PRODUCTS/Mobiles/Brand 1/Model 1/images/master.jpg, /PRODUCTS/Mobiles/Brand 1/Model 1/images/1.webp,/PRODUCTS/Mobiles/Brand 1/Model 1/images/2.jpg, /PRODUCTS/Mobiles/Brand 1/Model 1/video/1.mp4, /PRODUCTS/Mobiles/Brand 1/Model 1/video/poster.png,Video Title,Video Description, 150, 150000, 1, 4.5, 1200, 1300, 30, 70, 10, 1170, 14x10x1, 15.6, 4.5, XYZ-200, 2022, Mobile XYZ-200, HDMI, USB, AC Adapter, 1, 120, 130, AU, 1, 1, /Motherboards/ProGamer Extreme, /Operating Systems/Windows 10 Home, /Processors/Qualcomm Snapdragon 8cx Gen 3, /Storages/Kingston DDR4, /Storages/Samsung EVO 970, /Storages/Intel Optane 905P, 3G,4G,5GPimcore\Model\DataObject\Data\Video::setData(): Argument #1 ($data) must be of type Pimcore\Model\Asset|string|int, null given, called in /var/www/skel/src/EventSubscriber/DataImportSubscriber.php on line 51","2023-12-04 15:21:12"
error,"Error processing element: /Products/Electronics/Laptop/Brand 1, SKU10002, Laptop X, High-performance laptop for gaming and work, Laptop XYZ-200, Hochleistungs-Laptop für Gaming und Arbeit, Ordinateur XYZ-200, Téléviseur intelligent avec applications de streaming intégrées, US, /Brands/Samsung, /Manufacturers/Manufacturer B, /Categories/Electronics, /Categories/Electronics/Laptop, 930, Blue, /PRODUCTS/Mobiles/Brand 1/Model 1/images/master.jpg, /PRODUCTS/Mobiles/Brand 1/Model 1/images/1.webp,/PRODUCTS/Mobiles/Brand 1/Model 1/images/2.jpg, 	
/PRODUCTS/Mobiles/Brand 1/Model 1/video/1.mp4, /PRODUCTS/Mobiles/Brand 1/Model 1/video/poster.png,Video Title,Video Description, 85, 40000, 1, 4.7, 500, 550, 20, 30, 5, 522, 55x30x5, 55, 18, LED-1000, 2022,  Laptop-1000, HDMI, USB, AC Power Supply, 1, 220, 130, AS, 0, 0, /Motherboards/BudgetMaster B450, /Operating Systems/Windows 10 Home, /Processors/Qualcomm Snapdragon 8cx Gen 3, /Storages/Kingston DDR4, /Storages/Samsung EVO 90, /Storages/Intel Optane 905P, 3G,4G,5GPimcore\Model\DataObject\Data\Video::setData(): Argument #1 ($data) must be of type Pimcore\Model\Asset|string|int, null given, called in /var/www/skel/src/EventSubscriber/DataImportSubscriber.php on line 51","2023-12-04 15:21:12"
error,"Error processing element: /Products/Electronics/Tvs/Brand 1, SKU10003, TV X, 4K Ultra HD Smart TV with built-in streaming apps, TV Pro-500, 4K Ultra HD Smart TV mit integrierten Streaming-Apps, Smart TV LED-1000, Appareil photo reflex avec des capacités de prise de vue avancées, AU, /Brands/Nvidia, /Manufacturers/Manufacturer A, /Categories/Electronics, /Categories/Electronics/TV, 93939, Green, /PRODUCTS/Mobiles/Brand 1/Model 1/images/master.jpg, /PRODUCTS/Mobiles/Brand 1/Model 1/images/1.webp,/PRODUCTS/Mobiles/Brand 1/Model 1/images/2.jpg, 	
/PRODUCTS/Mobiles/Brand 1/Model 1/video/1.mp4, /PRODUCTS/Mobiles/Brand 1/Model 1/video/poster.png,Video Title,Video Description, 95, 100000, 0, 4.8, 1200, 1400, 40, 60, 7, 1302, 5x4x3, 7.5, 2, Pro-500, 2022, TV-500, USB, SD, Battery, 1, 110, 15, US, 0, 0, /Motherboards/PowerSpeed Z200, /Operating Systems/FreeBSD 13.0, /Processors/AMD Ryzen 5 5600G, /Storages/Corsair Vengeance LPX, /Storages/Samsung EVO 970, /Storages/Intel Optane 905P, 3G,4G,5GPimcore\Model\DataObject\Data\Video::setData(): Argument #1 ($data) must be of type Pimcore\Model\Asset|string|int, null given, called in /var/www/skel/src/EventSubscriber/DataImportSubscriber.php on line 51","2023-12-04 15:21:12"
error,"Error processing element: /Products/Electronics/Mobiles/Brand 1/Mobile 1, SKU10004, Mobile 1 Variants, 4K Ultra HD Smart TV with built-in streaming apps, TV Pro-500, 4K Ultra HD Smart TV mit integrierten Streaming-Apps, Smart TV LED-1000, Appareil photo reflex avec des capacités de prise de vue avancées, , , , , , , Blue, , , , 89, , 0, 4.8, 1200, 1400, 40, 60, 7, 1302, 5x4x3, 7.5, 2, Pro-500, 2022, TV-500, USB, SD, Battery, 1, 110, 15, US, 0, 0, /Motherboards/PowerSpeed Z200, /Operating Systems/FreeBSD 13.0, /Processors/AMD Ryzen 5 5600G, /Storages/Corsair Vengeance LPX, /Storages/Samsung EVO 970, /Storages/Intel Optane 905P, 3G,4G,5G,2GPimcore\Model\DataObject\Data\Video::setData(): Argument #1 ($data) must be of type Pimcore\Model\Asset|string|int, null given, called in /var/www/skel/src/EventSubscriber/DataImportSubscriber.php on line 51","2023-12-04 15:21:12"
error,"Could not import asset data from `/PRODUCTS/Mobiles/Brand 1/Model 1/video/1.mp4` ","2023-12-03 21:53:36"
error,"Error processing element: /Products/Electronics/Mobiles/Brand 1, SKU10001, Mobile 1, High-performance mobiles daily work, Mobile XYZ-200, Hochleistungs-Mobiles für Gaming und Arbeit, Ordinmar XYZ-200, Ordinateur portable haute performance pour le jeu et le travail, AU, /Brands/Microsoft, /Manufacturers/Manufacturer A, /Categories/Electronics, /Categories/Electronics/Mobile, 9030, Red, /PRODUCTS/Mobiles/Brand 1/Model 1/images/master.jpg, /PRODUCTS/Mobiles/Brand 1/Model 1/images/1.webp,/PRODUCTS/Mobiles/Brand 1/Model 1/images/2.jpg, 	
/PRODUCTS/Mobiles/Brand 1/Model 1/video/1.mp4, /PRODUCTS/Mobiles/Brand 1/Model 1/video/poster.png,Video Title,Video Description, 150, 150000, 1, 4.5, 1200, 1300, 30, 70, 10, 1170, 14x10x1, 15.6, 4.5, XYZ-200, 2022, Mobile XYZ-200, HDMI, USB, AC Adapter, 1, 120, 130, AU, 1, 1, /Motherboards/ProGamer Extreme, /Operating Systems/Windows 10 Home, /Processors/Qualcomm Snapdragon 8cx Gen 3, /Storages/Kingston DDR4, /Storages/Samsung EVO 970, /Storages/Intel Optane 905P, 3G,4G,5GPimcore\Model\DataObject\Data\Video::setData(): Argument #1 ($data) must be of type Pimcore\Model\Asset|string|int, null given, called in /var/www/skel/src/EventSubscriber/DataImportSubscriber.php on line 45","2023-12-03 20:49:51"
